model,comparison,left_method,right_method,dataset_name,stage,metric,left_value,right_value,delta
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0116_seed42,stage1,accuracy,0.45454545454545453,0.4573002754820937,-0.0027548209366391463
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0117_seed42,stage1,accuracy,0.9008264462809917,0.9008264462809916,1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0118_seed42,stage1,accuracy,0.9146005509641874,0.9146005509641874,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0119_seed42,stage1,accuracy,0.7052341597796143,0.7052341597796143,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0120_seed42,stage1,accuracy,0.9963898916967509,0.9963898916967509,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0121_seed42,stage1,accuracy,0.6462093862815884,0.6534296028880866,-0.0072202166064981865
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0122_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0123_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0124_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0125_seed42,stage1,accuracy,0.9157509157509157,0.9157509157509156,1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0126_seed42,stage1,accuracy,0.4249084249084249,0.4249084249084249,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0127_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0128_seed42,stage1,accuracy,0.9927536231884058,0.9927536231884058,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0129_seed42,stage1,accuracy,0.625,0.625,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0130_seed42,stage1,accuracy,0.8514492753623188,0.8514492753623188,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0131_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0132_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0133_seed42,stage1,accuracy,0.4411764705882353,0.4411764705882353,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0134_seed42,stage1,accuracy,0.5404411764705882,0.5404411764705882,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0135_seed42,stage1,accuracy,0.9705882352941176,0.9705882352941176,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0136_seed42,stage1,accuracy,0.9881422924901185,0.9881422924901184,1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0137_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0138_seed42,stage1,accuracy,0.525691699604743,0.525691699604743,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0139_seed42,stage1,accuracy,0.6837944664031621,0.6798418972332015,0.0039525691699605625
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0140_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0141_seed42,stage1,accuracy,0.861271676300578,0.861271676300578,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0142_seed42,stage1,accuracy,0.43641618497109824,0.4364161849710982,5.551115123125783e-17
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0143_seed42,stage1,accuracy,0.884393063583815,0.884393063583815,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0144_seed42,stage1,accuracy,0.9189985272459499,0.91899852724595,-1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0145_seed42,stage1,accuracy,0.812960235640648,0.812960235640648,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0146_seed42,stage1,accuracy,0.6863033873343152,0.6833578792341679,0.002945508100147265
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0147_seed42,stage1,accuracy,0.9278350515463918,0.9278350515463918,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0148_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0149_seed42,stage1,accuracy,0.536547433903577,0.536547433903577,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0150_seed42,stage1,accuracy,0.23950233281493002,0.23950233281493,2.7755575615628914e-17
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0151_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0152_seed42,stage1,accuracy,0.9606481481481481,0.960648148148148,1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0153_seed42,stage1,accuracy,0.9375,0.9375,0.0
