dataset,model,method,reference_method,metric,shared_status_ok,method_mean,reference_mean,delta,wins,losses,ties
OpenML-CC18,TabPFNv3,ln_head_embedding,Infer,f1,65,0.8735650479224651,0.8768007562980353,-0.0032357083755702697,22,35,8
OpenML-CC18,TabPFNv3,ln_head_embedding,Infer,roc_auc,65,0.9280452087016049,0.9307133450808784,-0.0026681363792734167,12,46,7
OpenML-CC18,TabPFNv3,ln_head_embedding,Infer,log_loss,65,0.28438898968012105,0.2771977077829792,0.0071912818971418685,14,51,0
OpenML-CC18,TabPFNv3,ln_head_embedding,FT,accuracy,63,0.8799432272701575,0.8820197531030725,-0.002076525832915137,24,23,16
OpenML-CC18,TabPFNv3,ln_head_embedding,FT,balanced_accuracy,63,0.8308543248802744,0.8342578140148578,-0.003403489134583265,23,27,13
OpenML-CC18,TabPFNv3,ln_head_embedding,FT,f1,63,0.8733675372196065,0.8759161275533427,-0.0025485903337362763,26,27,10
OpenML-CC18,TabPFNv3,ln_head_embedding,FT,roc_auc,63,0.9280123177471661,0.9288451883158154,-0.0008328705686492191,27,30,6
OpenML-CC18,TabPFNv3,ln_head_embedding,FT,log_loss,63,0.28505258251325993,0.28222310365501707,0.00282947885824284,33,30,0
OpenML-CC18,TabPFNv3,Last-block,Infer,accuracy,63,0.8845672082839902,0.8865314316904598,-0.001964223406469633,18,33,12
OpenML-CC18,TabPFNv3,Last-block,Infer,balanced_accuracy,63,0.8326523603343458,0.8383198437946237,-0.005667483460278092,19,35,9
OpenML-CC18,TabPFNv3,Last-block,Infer,f1,63,0.8778296212399718,0.8813573461557279,-0.0035277249157562194,19,37,7
OpenML-CC18,TabPFNv3,Last-block,Infer,roc_auc,63,0.9281585758832619,0.9309787601294645,-0.0028201842462027608,10,46,7
OpenML-CC18,TabPFNv3,Last-block,Infer,log_loss,63,0.26917858092400376,0.2620328675681759,0.007145713355827942,12,51,0
OpenML-CC18,TabPFNv3,Last-block,FT,accuracy,63,0.8845672082839902,0.8869792448926836,-0.0024120366086934613,21,26,16
OpenML-CC18,TabPFNv3,Last-block,FT,balanced_accuracy,63,0.8326523603343458,0.8366540155131316,-0.0040016551787856606,20,30,13
OpenML-CC18,TabPFNv3,Last-block,FT,f1,63,0.8778296212399718,0.8807895660438348,-0.002959944803862837,24,30,9
OpenML-CC18,TabPFNv3,Last-block,FT,roc_auc,63,0.9281585758832619,0.929144013627024,-0.0009854377437621337,25,32,6
