dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_roc_auc,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_best_accuracy
JapaneseVowels,/home/crc00006699/zh/tabiclv2/data172/JapaneseVowels,multiclass,7968,1594,1993,14,9,0.9989964877069744,0.9989960803818158,0.9987928379401247,0.9999984058856812,0.0046149783514916,84.00119376182556,1.2610931396484375,ok,,7968,6374,0,1993,,120,5e-06,True,84.00073504447937,tabpfn_finetune_epoch_chunks,dataset_val_split,30,4,tabpfn_finetuning_api,,,0,False,False,,,,,
KDD,/home/crc00006699/zh/tabiclv2/data200/KDD,binclass,4025,805,1007,45,2,0.8013902681231381,0.8007032533273376,0.8022034165778988,0.9030417800923186,0.3722548870107908,12.847999334335327,1.1881794929504397,ok,,4025,3220,0,1007,,60,1e-05,True,12.8476722240448,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api,,,0,True,False,,roc_auc,0.9250089635646552,0.9250089635646552,
KDDCup09_upselling,/home/crc00006699/zh/tabiclv2/data172/KDDCup09_upselling,binclass,4102,821,1026,49,2,0.817738791423002,0.8162288906321388,0.8177387914230019,0.9121097089702814,0.3541403277364559,48.43594622612,1.3521547317504885,ok,,4102,3281,0,1026,,60,5e-06,True,48.435500144958496,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api,,,0,False,False,,,,,
Long,/home/crc00006699/zh/tabiclv2/data200/Long,binclass,3581,717,896,19,2,0.9899553571428572,0.989912416784225,0.98347315230456,0.999914146245738,0.0160856999329595,8.49986982345581,0.66571044921875,ok,,3581,2864,0,896,,60,1e-05,True,8.499571800231934,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api,,,0,True,False,,roc_auc,0.9999626377732111,0.9999626377732111,
MIC,/home/crc00006699/zh/tabiclv2/data172/MIC,binclass,1319,264,330,104,2,0.906060606060606,0.8968551692194965,0.7441492726122707,0.8876941457586618,0.2609063116139767,101.7955391407013,0.5985183715820312,ok,,1319,1055,0,330,,30,5e-06,True,101.79513025283812,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,,,,,
MagicTelescope,/home/crc00006699/zh/tabiclv2/data172/MagicTelescope,binclass,15216,3044,3804,9,2,0.8951104100946372,0.8939504088019063,0.8751695707360007,0.9480646811585242,0.2609161852343592,479.1612823009491,2.385986566543579,ok,,15216,12172,0,3804,,210,5e-06,True,479.1609580516815,tabpfn_finetune_epoch_chunks,dataset_val_split,30,7,tabpfn_finetuning_api,,,0,False,False,,,,,
Marketing_Campaign,/home/crc00006699/zh/tabiclv2/data172/Marketing_Campaign,binclass,1792,359,448,27,2,0.8883928571428571,0.8744094447219447,0.6883691777333804,0.9297214713832412,0.2340584566266694,74.4370527267456,0.5754163265228271,ok,,1792,1433,0,448,,30,5e-06,True,74.43672847747803,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,,,,,
Mobile_Price_Classification,/home/crc00006699/zh/tabiclv2/data172/Mobile_Price_Classification,multiclass,1600,320,400,20,4,0.9675,0.9674734177825642,0.9675,0.9995083333333332,0.0641477043843079,23.34325480461121,0.4497213363647461,ok,,1600,1280,0,400,,30,5e-06,True,23.342830419540405,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,,,,,
National_Health_and_Nutrition_Health_Survey,/home/crc00006699/zh/tabiclv2/data172/National_Health_and_Nutrition_Health_Survey,binclass,1822,365,456,7,2,0.8355263157894737,0.7913318971559885,0.541739690260739,0.7702349869451698,0.3814892172286626,53.80327248573303,0.5553634166717529,ok,,1822,1457,0,456,,30,5e-06,True,53.802868604660034,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,,,,,
Performance-Prediction,/home/crc00006699/zh/tabiclv2/data200/Performance-Prediction,binclass,1072,215,268,19,2,0.7425373134328358,0.7366111238221777,0.7059052059052059,0.7976211822365669,0.5294127165825593,10.849157333374023,0.4261224269866943,ok,,1072,857,0,268,,30,1e-05,True,10.848836183547974,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,4,True,False,,roc_auc,0.691652629608834,0.7239378626239941,
